_Collision Id,Borough,Boro,Easting,Northing,Vehicle Ref.,Vehicle Type,Vehicle Type (Banded),Vehicle Manoeuvres,Vehicle Skidding,Restricted Lane,Junction Location,Object in C/W,Veh. Leaving C/W,Veh. off C/W,Veh. Impact,VJNYPURP DECODED,Driver Sex,Driver Age,Driver Age (Banded), 
48200950004,CITY OF LONDON,0,533276,181401,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,42,35-64,
48200951874,CITY OF LONDON,0,531463,180987,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,2 FEMALE,41,35-64,
48200951885,CITY OF LONDON,0,531599,181566,1,08 TAXI,4 TAXI,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,40,35-64,
48200953536,CITY OF LONDON,0,532839,180859,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,2 FEMALE,35,35-64,
48200954956,CITY OF LONDON,0,532895,180703,1,11 BUS/COACH,6 BUS/COACH EXCLUDING MINIBUS,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,51,35-64,
48200954964,CITY OF LONDON,0,531648,180900,1,19 GDS =< 3.5T,7 GOODS VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,34,25-34,
48200958805,CITY OF LONDON,0,532206,181560,1,09 CAR,3 CAR,16 GOING AHEAD LEFT BEND,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,4 LEFT CWY ONTO CENTRAL RES,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,1 MALE,37,35-64,
48200958816,CITY OF LONDON,0,533658,180940,1,08 TAXI,4 TAXI,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,28,25-34,
48200964301,CITY OF LONDON,0,533205,181426,2,08 TAXI,4 TAXI,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,36,35-64,
48200968662,CITY OF LONDON,0,533260,181535,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,2 FEMALE,38,35-64,
48200968720,CITY OF LONDON,0,533168,181570,1,08 TAXI,4 TAXI,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,77,65+,
48200968731,CITY OF LONDON,0,533490,181120,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,1 MALE,50,35-64,
48200968745,CITY OF LONDON,0,533212,181439,1,08 TAXI,4 TAXI,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,50,35-64,
48200979862,CITY OF LONDON,0,532125,181310,1,08 TAXI,4 TAXI,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,47,35-64,
48200980033,CITY OF LONDON,0,533285,181607,1,90 OTHER VEHICLE,8 OTHER VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,09 FOOTWAY,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,2 COMM TO/FROM WORK,1 MALE,30,25-34,
48200990414,CITY OF LONDON,0,531340,181399,1,08 TAXI,4 TAXI,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,50,35-64,
48200990424,CITY OF LONDON,0,532983,180965,1,08 TAXI,4 TAXI,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,40,35-64,
48200992250,CITY OF LONDON,0,531780,180834,1,08 TAXI,4 TAXI,07 TURNING LEFT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,58,35-64,
48200992273,CITY OF LONDON,0,532585,180787,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,72,65+,
48200992574,CITY OF LONDON,0,532544,180942,1,11 BUS/COACH,6 BUS/COACH EXCLUDING MINIBUS,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,3 NOT TRACED,50,35-64,
48201001434,CITY OF LONDON,0,532420,180833,2,90 OTHER VEHICLE,8 OTHER VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,05 CYCLEWAY/FOOTWAY (SEPARATED),2 JCT CLEARED,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,2 COMM TO/FROM WORK,1 MALE,55,35-64,
48201002058,CITY OF LONDON,0,533681,180283,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,20,17-24,
48201002066,CITY OF LONDON,0,531899,181362,2,90 OTHER VEHICLE,8 OTHER VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,04 CYCLE LANE (ON CWY),1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,2 COMM TO/FROM WORK,2 FEMALE,32,25-34,
48201013296,CITY OF LONDON,0,532435,180818,2,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,2 FEMALE,36,35-64,
1200228011,WESTMINSTER,1,529324,181286,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,09 FOOTWAY,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,20,17-24,
1200228362,WESTMINSTER,1,530410,180294,1,19 GDS =< 3.5T,7 GOODS VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,46,35-64,
1200228648,WESTMINSTER,1,524865,182603,1,09 CAR,3 CAR,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,3 LEAVING R'ABOUT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,2 COMM TO/FROM WORK,2 FEMALE,36,35-64,
1200228711,WESTMINSTER,1,529587,178288,1,21 GDS => 7.5T,7 GOODS VEHICLE,07 TURNING LEFT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,5 LEAVING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,67,65+,
1200228857,WESTMINSTER,1,527901,182042,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,49,35-64,
1200229059,WESTMINSTER,1,527379,181771,1,19 GDS =< 3.5T,7 GOODS VEHICLE,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,04 HIT PARKED VEH,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,24,17-24,
1200229078,WESTMINSTER,1,529686,180871,1,08 TAXI,4 TAXI,04 SLOWING OR STOPPING,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,2 JCT CLEARED,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,55,35-64,
1200229391,WESTMINSTER,1,524665,182872,2,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,64,35-64,
1200229861,WESTMINSTER,1,528891,182189,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,28,25-34,
1200230041,WESTMINSTER,1,528384,181093,1,13 LONDON BUS,6 BUS/COACH EXCLUDING MINIBUS,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,49,35-64,
1200230181,WESTMINSTER,1,529946,179213,1,09 CAR,3 CAR,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,54,35-64,
1200230189,WESTMINSTER,1,528683,178690,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,37,35-64,
1200230252,WESTMINSTER,1,527459,183381,2,19 GDS =< 3.5T,7 GOODS VEHICLE,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,1 MALE,25,25-34,
1200230636,WESTMINSTER,1,529175,179520,1,08 TAXI,4 TAXI,03 GOING AHEAD HELD UP,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,53,35-64,
1200230649,WESTMINSTER,1,530113,180184,1,06 PRIVATE HIRE - LICENSED,5 PRIVATE HIRE,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,6 ENTERING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,52,35-64,
1200230957,WESTMINSTER,1,527053,181185,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,50,35-64,
1200231025,WESTMINSTER,1,529878,178375,1,08 TAXI,4 TAXI,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,5 LEAVING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,56,35-64,
1200231091,WESTMINSTER,1,526200,182923,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,04 HIT PARKED VEH,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,1 MALE,80,65+,
1200231227,WESTMINSTER,1,527732,182024,2,09 CAR,3 CAR,99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),1 FRONT HIT FIRST,6 UNKNOWN,3 NOT TRACED,29,25-34,
1200231269,WESTMINSTER,1,526310,183321,1,13 LONDON BUS,6 BUS/COACH EXCLUDING MINIBUS,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,2 JCT CLEARED,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,62,35-64,
1200231490,WESTMINSTER,1,530061,180593,1,09 CAR,3 CAR,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,6 UNKNOWN,1 MALE,33,25-34,
1200231710,WESTMINSTER,1,529710,180697,1,19 GDS =< 3.5T,7 GOODS VEHICLE,07 TURNING LEFT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,41,35-64,
1200231767,WESTMINSTER,1,526364,181140,1,09 CAR,3 CAR,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,5 LEAVING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,42,35-64,
1200231797,WESTMINSTER,1,529832,180953,1,19 GDS =< 3.5T,7 GOODS VEHICLE,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,6 ENTERING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,52,35-64,
1200231873,WESTMINSTER,1,526624,182914,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,21,17-24,
1200232037,WESTMINSTER,1,528437,179892,2,21 GDS => 7.5T,7 GOODS VEHICLE,99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),9 UNKNOWN (S/R),99 UNKNOWN (S/R),1 FRONT HIT FIRST,6 UNKNOWN,3 NOT TRACED,50,35-64,
1200232126,WESTMINSTER,1,528798,180661,2,06 PRIVATE HIRE - LICENSED,5 PRIVATE HIRE,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,57,35-64,
1200232799,WESTMINSTER,1,530964,181058,1,09 CAR,3 CAR,05 MOVING OFF,1 SKIDDED,00 ON MAIN CW - NOT REST.,2 JCT CLEARED,04 HIT PARKED VEH,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,84,65+,
1200233170,WESTMINSTER,1,526760,182552,1,09 CAR,3 CAR,10 WAITING TO TURN RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,2 FEMALE,30,25-34,
1200233277,WESTMINSTER,1,526254,182620,1,09 CAR,3 CAR,10 WAITING TO TURN RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,38,35-64,
1200233313,WESTMINSTER,1,529430,177899,1,19 GDS =< 3.5T,7 GOODS VEHICLE,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,5 LEAVING MAIN RD,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,33,25-34,
1200233319,WESTMINSTER,1,526481,181016,2,08 TAXI,4 TAXI,04 SLOWING OR STOPPING,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,50,35-64,
1200233394,WESTMINSTER,1,528333,181736,1,08 TAXI,4 TAXI,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,46,35-64,
1200233444,WESTMINSTER,1,528845,180567,1,09 CAR,3 CAR,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,4 ENTERING R'ABOUT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,40,35-64,
1200233635,WESTMINSTER,1,528252,180901,1,09 CAR,3 CAR,07 TURNING LEFT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,39,35-64,
1200233665,WESTMINSTER,1,526485,182340,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,32,25-34,
1200233796,WESTMINSTER,1,528238,180521,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,2 JCT CLEARED,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,2 COMM TO/FROM WORK,1 MALE,32,25-34,
1200233848,WESTMINSTER,1,526354,181830,2,09 CAR,3 CAR,04 SLOWING OR STOPPING,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,49,35-64,
1200233852,WESTMINSTER,1,528016,181186,1,09 CAR,3 CAR,18 GOING AHEAD OTHER,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,8 JCT MID,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,5 OTHER/NOT KNOWN,1 MALE,30,25-34,
1200233918,WESTMINSTER,1,528901,179227,1,13 LONDON BUS,6 BUS/COACH EXCLUDING MINIBUS,05 MOVING OFF,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,0 NOT AT JCT,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,69,65+,
1200233958,WESTMINSTER,1,528938,181985,1,08 TAXI,4 TAXI,09 TURNING RIGHT,0 NO SKIDDING/OVERTURN,00 ON MAIN CW - NOT REST.,1 JCT APP,00 NONE,0 DID NOT LEAVE,00 NONE,1 FRONT HIT FIRST,1 JNY PART OF WORK,1 MALE,53,35-64,
